dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Pseudarthrobacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Pseudarthrobacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.33% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Pseudoglutamicibacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Pseudoglutamicibacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Renibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Renibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Promicromonosporaceae_Isoptericola_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Promicromonosporaceae_Isoptericola_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Sanguibacteraceae_Sanguibacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Sanguibacteraceae_Sanguibacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_nan_nan_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_nan_nan_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Nocardioidaceae_Aeromicrobium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Nocardioidaceae_Aeromicrobium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Acidipropionibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Acidipropionibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Propionibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Propionibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 1.34% of the total N (outside 10-90% prevalence),linear
